date_time,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19
2016/11/1,1.126000047,623,156,126,46,7.879000187,3.982000113,1.327999949,401,408,76,1.161000013,71,17,1,39,591,191,123,8
2016/12/1,374,119,20,91,6,3.299999952,1.577000022,819,148,164,155,491,136,36,0,47,133,161,64,12
2017/1/1,85,61,46,106,0,219,187,91,44,154,38,2,108,31,1,28,65,52,53,13
2017/2/1,24,25,31,61,1,14,47,9,10,100,21,0,129,18,0,107,52,23,75,8
2017/3/1,25,98,12,105,0,42,32,4,21,163,23,0,216,16,0,103,45,7,115,9
2017/4/1,25,164,26,69,1,45,91,6,19,94,7,3,51,8,1,41,20,9,60,7
2017/5/1,36,576,36,125,10,114,142,9,31,121,1,1,29,1,6,43,40,13,135,10
2017/6/1,193,1.320000052,70,360,45,679,885,23,192,329,2,2,4,0,23,217,119,5,442,37
2017/7/1,643,2.397000074,591,610,457,4.985000134,2.520999908,26,1.279999971,300,0,3,3,0,44,802,1.975000024,2,577,3
2017/8/1,1.572000027,3.536000013,713,2.14199996,1.493000031,11.96199989,3.875,121,4.287000179,1.018000007,1,33,35,0,147,981,6.315999985,20,1.491999984,30
2017/9/1,3.421999931,10.73700047,626,4.697000027,3.428999901,25.00399971,14.82499981,505,5.638000011,1.791000009,4,95,43,0,122,2.868000031,4.032999992,69,3.237999916,58
2017/10/1,3.003999949,2.969000101,51,3.062000036,1.508000016,7.627999783,6.011000156,949,2.190000057,4.005000114,14,468,156,0,66,179,1.58099997,256,2.401000023,56
2017/11/1,449,434,152,136,98,9.079000473,2.299999952,812,372,174,10,858,327,1,0,37,552,66,117,3
